s_no,Brand_Name,Discounted Price,Actual Price,saving_percentage,core,ssd,model,extra_information
283,ASUS,156999,200000.0,22,Core i7,No SSD,Expertbook B1402CVA 13th Gen Core i7,16GB-512GB
284,Apple,288999,400000.0,28,M3,No SSD,MACBOOK AIR 13” M3 CHIP MRXV3 8-256,Not Specified
285,HP,198499,245000.0,19,Ryzen 7,No SSD,Pavilion 15 EH3050au - AMD Ryzen 7 7730U Octa Core,16GB-1TB
286,HP,251999,299000.0,16,Ultra 7,No SSD,Envy 2 in 1 16 AC0023dx Intel Core Ultra 7 155U Processor,16GB-1tb
287,HP,222999,270000.0,17,Core i7,No SSD,15s FD0110TU - Raptor Lake - 13th Gen Core i7,16GB-512GB
288,Lenovo,141999,180000.0,21,Ryzen 5,No SSD,ThinkPad E14 Gen 4 Ryzen 5 DOS,Not Specified
289,Apple,288999,300000.0,4,M3,No SSD,MacBook Air MRXN3 M3 8-Core Chip,Not Specified
290,Dell,189999,219999.0,14,Core i7,16GB-512GB SSD,Inspiron 15 3530 13th Gen Core i7 1355U,16GB-512GB SSD
291,Dell,134499,142999.0,6,Ryzen 7,16GB-512GB SSD,Inspiron 3535 AMD Ryzen 7-7730U,16GB-512GB SSD
292,Acer,430999,449999.0,4,Core i9,No SSD,Predator Helios Neo PH16-72-99PA Intel Core i9-14900HX,32GB-1TB SSD
293,Acer,781999,950000.0,18,Core i9,No SSD,Predator Helios Neo PH16-72-97T1 Intel Core i9-14900HX,32GB-1TB SSD
294,ASUS,499999,550000.0,9,Ryzen 9,No SSD,ROG Zephyrus G14 GA403UM Ryzen 9-270  RTX 5060 8GB,16GB-1TB SSD
